year0,orig_reg,dest_reg,flow
1985,Africa,Eastern Europe & Central Asia,11294
1985,Africa,Europe,1280557
1985,Africa,Latin America & Caribbean,40224
1985,Africa,Northern America,312880
1985,Africa,Oceania,127058
1985,Africa,Southern Asia,51206
1985,Africa,Western Asia,468488
1985,Eastern Asia,Africa,2539
1985,Eastern Asia,Eastern Asia,1271047
1985,Eastern Asia,Eastern Europe & Central Asia,2368
1985,Eastern Asia,Europe,134537
1985,Eastern Asia,Latin America & Caribbean,13008
1985,Eastern Asia,Northern America,729713
1985,Eastern Asia,Oceania,131391
1985,Eastern Asia,Southern Asia,42225
1985,Eastern Asia,Western Asia,31171
1985,Eastern Europe & Central Asia,Africa,2259
1985,Eastern Europe & Central Asia,Eastern Asia,14546
1985,Eastern Europe & Central Asia,Eastern Europe & Central Asia,3085057
1985,Eastern Europe & Central Asia,Europe,1280212
1985,Eastern Europe & Central Asia,Latin America & Caribbean,3087
1985,Eastern Europe & Central Asia,Northern America,79128
1985,Eastern Europe & Central Asia,Oceania,25359
1985,Eastern Europe & Central Asia,Southern Asia,19058
1985,Eastern Europe & Central Asia,Western Asia,368239
1985,Europe,Africa,195511
1985,Europe,Eastern Asia,149378
1985,Europe,Eastern Europe & Central Asia,70627
1985,Europe,Europe,1413590
1985,Europe,Latin America & Caribbean,112588
1985,Europe,Northern America,376486
1985,Europe,Oceania,221716
1985,Europe,Southern Asia,66782
1985,Europe,Western Asia,99198
1985,Latin America & Caribbean,Africa,6486
1985,Latin America & Caribbean,Eastern Asia,46437
1985,Latin America & Caribbean,Eastern Europe & Central Asia,5173
1985,Latin America & Caribbean,Europe,197445
1985,Latin America & Caribbean,Latin America & Caribbean,551195
1985,Latin America & Caribbean,Northern America,3395709
1985,Latin America & Caribbean,Oceania,41520
1985,Latin America & Caribbean,Southern Asia,2437
1985,Latin America & Caribbean,Western Asia,17933
1985,Northern America,Africa,81014
1985,Northern America,Eastern Asia,233980
1985,Northern America,Eastern Europe & Central Asia,42937
1985,Northern America,Europe,233729
1985,Northern America,Latin America & Caribbean,47202
1985,Northern America,Northern America,336651
1985,Northern America,Oceania,43996
1985,Northern America,Southern Asia,60228
1985,Northern America,Western Asia,42070
1985,Oceania,Africa,5555
1985,Oceania,Eastern Asia,30853
1985,Oceania,Eastern Europe & Central Asia,2339
1985,Oceania,Europe,30801
1985,Oceania,Latin America & Caribbean,1607
1985,Oceania,Northern America,50814
1985,Oceania,Oceania,123804
1985,Oceania,Southern Asia,10423
1985,Oceania,Western Asia,4631
1985,Southern Asia,Africa,17208
1985,Southern Asia,Eastern Asia,124619
1985,Southern Asia,Eastern Europe & Central Asia,3061
1985,Southern Asia,Europe,136614
1985,Southern Asia,Latin America & Caribbean,1029
1985,Southern Asia,Northern America,165321
1985,Southern Asia,Oceania,25056
1985,Southern Asia,Southern Asia,1926457
1985,Southern Asia,Western Asia,605073
1985,Western Asia,Africa,181225
1985,Western Asia,Eastern Asia,85526
1985,Western Asia,Eastern Europe & Central Asia,261499
1985,Western Asia,Europe,708468
1985,Western Asia,Latin America & Caribbean,23822
1985,Western Asia,Northern America,236473
1985,Western Asia,Oceania,74436
1985,Western Asia,Southern Asia,302392
1985,Western Asia,Western Asia,1246792
1990,Africa,Africa,7205898
1990,Africa,Eastern Asia,3914
1990,Africa,Eastern Europe & Central Asia,6136
1990,Africa,Europe,715392
1990,Africa,Latin America & Caribbean,4427
1990,Africa,Northern America,144746
1990,Africa,Oceania,12056
1990,Africa,Southern Asia,86
1990,Africa,Western Asia,469900
1990,Eastern Asia,Africa,44229
1990,Eastern Asia,Eastern Asia,1881627
1990,Eastern Asia,Eastern Europe & Central Asia,95592
1990,Eastern Asia,Europe,597171
1990,Eastern Asia,Latin America & Caribbean,54725
1990,Eastern Asia,Northern America,1833525
1990,Eastern Asia,Oceania,285983
1990,Eastern Asia,Southern Asia,233998
1990,Eastern Asia,Western Asia,221128
1990,Eastern Europe & Central Asia,Africa,23539
1990,Eastern Europe & Central Asia,Eastern Asia,5480
1990,Eastern Europe & Central Asia,Eastern Europe & Central Asia,1938751
1990,Eastern Europe & Central Asia,Europe,1660089
1990,Eastern Europe & Central Asia,Latin America & Caribbean,9695
1990,Eastern Europe & Central Asia,Northern America,183265
1990,Eastern Europe & Central Asia,Oceania,13931
1990,Eastern Europe & Central Asia,Southern Asia,741
1990,Eastern Europe & Central Asia,Western Asia,429794
1990,Europe,Africa,710153
1990,Europe,Eastern Asia,63231
1990,Europe,Eastern Europe & Central Asia,219114
1990,Europe,Europe,2921275
1990,Europe,Latin America & Caribbean,23251
1990,Europe,Northern America,161749
1990,Europe,Oceania,52920
1990,Europe,Southern Asia,4792
1990,Europe,Western Asia,149775
1990,Latin America & Caribbean,Africa,16546
1990,Latin America & Caribbean,Eastern Asia,135681
1990,Latin America & Caribbean,Eastern Europe & Central Asia,3497
1990,Latin America & Caribbean,Europe,373025
1990,Latin America & Caribbean,Latin America & Caribbean,614924
1990,Latin America & Caribbean,Northern America,3028359
1990,Latin America & Caribbean,Oceania,6881
1990,Latin America & Caribbean,Southern Asia,8445
1990,Latin America & Caribbean,Western Asia,15984
1990,Northern America,Africa,186653
1990,Northern America,Eastern Asia,88576
1990,Northern America,Eastern Europe & Central Asia,27075
1990,Northern America,Europe,599860
1990,Northern America,Latin America & Caribbean,221857
1990,Northern America,Northern America,57227
1990,Northern America,Oceania,45080
1990,Northern America,Southern Asia,1626
1990,Northern America,Western Asia,87206
1990,Oceania,Africa,41223
1990,Oceania,Eastern Asia,12673
1990,Oceania,Eastern Europe & Central Asia,274
1990,Oceania,Europe,24423
1990,Oceania,Latin America & Caribbean,3019
1990,Oceania,Northern America,30514
1990,Oceania,Oceania,73403
1990,Oceania,Southern Asia,44
1990,Oceania,Western Asia,3909
1990,Southern Asia,Africa,83003
1990,Southern Asia,Eastern Asia,193741
1990,Southern Asia,Eastern Europe & Central Asia,42060
1990,Southern Asia,Europe,853346
1990,Southern Asia,Latin America & Caribbean,5919
1990,Southern Asia,Northern America,946095
1990,Southern Asia,Oceania,89685
1990,Southern Asia,Southern Asia,3165758
1990,Southern Asia,Western Asia,1091544
1990,Western Asia,Africa,556143
1990,Western Asia,Eastern Asia,13949
1990,Western Asia,Eastern Europe & Central Asia,890904
1990,Western Asia,Europe,847672
1990,Western Asia,Latin America & Caribbean,4818
1990,Western Asia,Northern America,192345
1990,Western Asia,Oceania,11494
1990,Western Asia,Southern Asia,30552
1990,Western Asia,Western Asia,1340367
1995,Africa,Africa,4366616
1995,Africa,Eastern Asia,11792
1995,Africa,Eastern Europe & Central Asia,15366
1995,Africa,Europe,1672548
1995,Africa,Latin America & Caribbean,25816
1995,Africa,Northern America,635143
1995,Africa,Oceania,86379
1995,Africa,Southern Asia,1404
1995,Africa,Western Asia,257954
1995,Eastern Asia,Africa,4316
1995,Eastern Asia,Eastern Asia,2181466
1995,Eastern Asia,Eastern Europe & Central Asia,44175
1995,Eastern Asia,Europe,150145
1995,Eastern Asia,Latin America & Caribbean,33707
1995,Eastern Asia,Northern America,1488744
1995,Eastern Asia,Oceania,67136
1995,Eastern Asia,Southern Asia,8267
1995,Eastern Asia,Western Asia,24234
1995,Eastern Europe & Central Asia,Africa,2288
1995,Eastern Europe & Central Asia,Eastern Asia,12157
1995,Eastern Europe & Central Asia,Eastern Europe & Central Asia,2111397
1995,Eastern Europe & Central Asia,Europe,1275202
1995,Eastern Europe & Central Asia,Latin America & Caribbean,12266
1995,Eastern Europe & Central Asia,Northern America,492942
1995,Eastern Europe & Central Asia,Oceania,40485
1995,Eastern Europe & Central Asia,Southern Asia,34742
1995,Eastern Europe & Central Asia,Western Asia,152141
1995,Europe,Africa,19713
1995,Europe,Eastern Asia,130454
1995,Europe,Eastern Europe & Central Asia,229163
1995,Europe,Europe,2212646
1995,Europe,Latin America & Caribbean,112826
1995,Europe,Northern America,751123
1995,Europe,Oceania,1068975
1995,Europe,Southern Asia,109552
1995,Europe,Western Asia,131051
1995,Latin America & Caribbean,Africa,1262
1995,Latin America & Caribbean,Eastern Asia,82689
1995,Latin America & Caribbean,Eastern Europe & Central Asia,3004
1995,Latin America & Caribbean,Europe,346577
1995,Latin America & Caribbean,Latin America & Caribbean,681093
1995,Latin America & Caribbean,Northern America,4209378
1995,Latin America & Caribbean,Oceania,36729
1995,Latin America & Caribbean,Southern Asia,3407
1995,Latin America & Caribbean,Western Asia,6750
1995,Northern America,Africa,1064
1995,Northern America,Eastern Asia,113113
1995,Northern America,Eastern Europe & Central Asia,2676
1995,Northern America,Europe,19647
1995,Northern America,Latin America & Caribbean,66157
1995,Northern America,Northern America,189347
1995,Northern America,Oceania,66297
1995,Northern America,Southern Asia,25219
1995,Northern America,Western Asia,977
1995,Oceania,Africa,8059
1995,Oceania,Eastern Asia,150145
1995,Oceania,Eastern Europe & Central Asia,14549
1995,Oceania,Europe,315473
1995,Oceania,Latin America & Caribbean,74299
1995,Oceania,Northern America,563523
1995,Oceania,Oceania,147606
1995,Oceania,Southern Asia,16652
1995,Oceania,Western Asia,28031
1995,Southern Asia,Africa,25632
1995,Southern Asia,Eastern Asia,457368
1995,Southern Asia,Eastern Europe & Central Asia,4328
1995,Southern Asia,Europe,710039
1995,Southern Asia,Latin America & Caribbean,13325
1995,Southern Asia,Northern America,1191121
1995,Southern Asia,Oceania,84250
1995,Southern Asia,Southern Asia,910777
1995,Southern Asia,Western Asia,804538
1995,Western Asia,Africa,69810
1995,Western Asia,Eastern Asia,100825
1995,Western Asia,Eastern Europe & Central Asia,568599
1995,Western Asia,Europe,507388
1995,Western Asia,Latin America & Caribbean,19015
1995,Western Asia,Northern America,411109
1995,Western Asia,Oceania,52218
