orig,dest,year,age,flow
North-West,Islands,1970,19,8
North-East,Islands,1970,19,2
Center,Islands,1970,19,5
South,Islands,1970,19,2
Islands,Islands,1970,19,0
North-West,North-West,1970,20,0
North-East,North-West,1970,20,32
Center,North-West,1970,20,33
South,North-West,1970,20,110
Islands,North-West,1970,20,73
North-West,North-East,1970,20,69
North-East,North-East,1970,20,0
Center,North-East,1970,20,32
South,North-East,1970,20,38
Islands,North-East,1970,20,16
North-West,Center,1970,20,23
North-East,Center,1970,20,25
Center,Center,1970,20,0
South,Center,1970,20,61
Islands,Center,1970,20,23
North-West,South,1970,20,87
North-East,South,1970,20,18
Center,South,1970,20,54
South,South,1970,20,0
Islands,South,1970,20,25
North-West,Islands,1970,20,59
North-East,Islands,1970,20,6
Center,Islands,1970,20,17
South,Islands,1970,20,13
Islands,Islands,1970,20,0
North-West,North-West,1975,1,0
North-East,North-West,1975,1,1102
Center,North-West,1975,1,974
South,North-West,1975,1,3808
Islands,North-West,1975,1,2192
North-West,North-East,1975,1,1543
North-East,North-East,1975,1,0
Center,North-East,1975,1,721
South,North-East,1975,1,1057
Islands,North-East,1975,1,446
North-West,Center,1975,1,1493
North-East,Center,1975,1,702
Center,Center,1975,1,0
South,Center,1975,1,2219
Islands,Center,1975,1,797
North-West,South,1975,1,3976
North-East,South,1975,1,755
Center,South,1975,1,1596
South,South,1975,1,0
Islands,South,1975,1,664
North-West,Islands,1975,1,2121
North-East,Islands,1975,1,369
Center,Islands,1975,1,610
South,Islands,1975,1,516
Islands,Islands,1975,1,0
North-West,North-West,1975,2,0
North-East,North-West,1975,2,1039
Center,North-West,1975,2,880
South,North-West,1975,2,3352
Islands,North-West,1975,2,1958
North-West,North-East,1975,2,1514
North-East,North-East,1975,2,0
Center,North-East,1975,2,655
South,North-East,1975,2,938
Islands,North-East,1975,2,385
North-West,Center,1975,2,1288
North-East,Center,1975,2,639
Center,Center,1975,2,0
South,Center,1975,2,1961
Islands,Center,1975,2,770
North-West,South,1975,2,3036
North-East,South,1975,2,578
Center,South,1975,2,1398
South,South,1975,2,0
Islands,South,1975,2,476
North-West,Islands,1975,2,1801
North-East,Islands,1975,2,306
Center,Islands,1975,2,476
South,Islands,1975,2,441
Islands,Islands,1975,2,0
North-West,North-West,1975,3,0
North-East,North-West,1975,3,824
Center,North-West,1975,3,744
South,North-West,1975,3,3127
Islands,North-West,1975,3,1754
North-West,North-East,1975,3,1339
North-East,North-East,1975,3,0
Center,North-East,1975,3,555
South,North-East,1975,3,813
Islands,North-East,1975,3,366
North-West,Center,1975,3,1031
North-East,Center,1975,3,511
Center,Center,1975,3,0
South,Center,1975,3,1674
Islands,Center,1975,3,657
North-West,South,1975,3,2139
North-East,South,1975,3,452
Center,South,1975,3,1128
South,South,1975,3,0
Islands,South,1975,3,351
North-West,Islands,1975,3,1652
North-East,Islands,1975,3,275
Center,Islands,1975,3,509
South,Islands,1975,3,397
Islands,Islands,1975,3,0
North-West,North-West,1975,4,0
North-East,North-West,1975,4,1122
Center,North-West,1975,4,953
South,North-West,1975,4,8265
Islands,North-West,1975,4,4030
North-West,North-East,1975,4,1312
North-East,North-East,1975,4,0
Center,North-East,1975,4,708
South,North-East,1975,4,1882
Islands,North-East,1975,4,664
North-West,Center,1975,4,926
North-East,Center,1975,4,512
Center,Center,1975,4,0
South,Center,1975,4,3164
Islands,Center,1975,4,1172
North-West,South,1975,4,2920
North-East,South,1975,4,567
Center,South,1975,4,1328
South,South,1975,4,0
Islands,South,1975,4,511
North-West,Islands,1975,4,1923
North-East,Islands,1975,4,315
Center,Islands,1975,4,572
South,Islands,1975,4,575
Islands,Islands,1975,4,0
North-West,North-West,1975,5,0
North-East,North-West,1975,5,2594
Center,North-West,1975,5,2355
South,North-West,1975,5,13303
Islands,North-West,1975,5,6203
North-West,North-East,1975,5,2609
North-East,North-East,1975,5,0
Center,North-East,1975,5,1706
South,North-East,1975,5,3450
Islands,North-East,1975,5,1238
North-West,Center,1975,5,2132
North-East,Center,1975,5,1315
Center,Center,1975,5,0
South,Center,1975,5,6587
Islands,Center,1975,5,2374
North-West,South,1975,5,5512
North-East,South,1975,5,1268
Center,South,1975,5,2795
South,South,1975,5,0
Islands,South,1975,5,1264
North-West,Islands,1975,5,3129
North-East,Islands,1975,5,567
Center,Islands,1975,5,1232
South,Islands,1975,5,1273
Islands,Islands,1975,5,0
North-West,North-West,1975,6,0
